Start Date;End Date;Portfolio name;Currency;Campaign Name;Ad Group Name;Targeting;Match Type;Customer Search Term;Impressions;Clicks;Click-Thru Rate (CTR);Cost Per Click (CPC);Spend;7 Day Total Sales ;Total Advertising Cost of Sales (ACoS) ;Total Return on Advertising Spend (RoAS);7 Day Total Orders (#);7 Day Total Units (#);7 Day Conversion Rate;7 Day Advertised SKU Units (#);7 Day Other SKU Units (#);7 Day Advertised SKU Sales ;7 Day Other SKU Sales 
2019-10-29;2019-10-29;Not grouped;EUR;Lazy Zola Launch;Toothbrush;bambus zahnbürste;BROAD;zahnburste bambus;18;1;5,5556%;€ 0,68;€ 0,68;€ 0,00;;0,00;0;0;0,0000%;0;0;€ 0,00;€ 0,00
2019-10-21;2019-10-21;Not grouped;EUR;Lazy Zola Launch;Toothbrush;bambus zahnbürste;EXACT;bambus zahnbürsten;127;1;0,7874%;€ 0,39;€ 0,39;€ 0,00;;0,00;0;0;0,0000%;0;0;€ 0,00;€ 0,00
2019-10-30;2019-10-30;Not grouped;EUR;Lazy Zola Launch;Toothbrush;holz zahnbürste;BROAD;zahnbürste holz;44;1;2,2727%;€ 0,46;€ 0,46;€ 0,00;;0,00;0;0;0,0000%;0;0;€ 0,00;€ 0,00
2019-10-30;2019-10-30;Not grouped;EUR;Lazy Zola Launch;Toothbrush;holz zahnbürste;BROAD;zahnbürsten holz weic;1;1;100,0000%;€ 0,45;€ 0,45;€ 0,00;;0,00;0;0;0,0000%;0;0;€ 0,00;€ 0,00
2019-10-21;2019-10-21;Not grouped;EUR;Lazy Zola Launch;Toothbrush;holz zahnbürste;PHRASE;extra weiche holz zahnbürste;1;1;100,0000%;€ 0,61;€ 0,61;€ 0,00;;0,00;0;0;0,0000%;0;0;€ 0,00;€ 0,00
2019-10-29;2019-10-29;Not grouped;EUR;Lazy Zola Launch;Toothbrush;nachhaltig zahnburst;EXACT;nachhaltige zahnbürste;1;1;100,0000%;€ 0,27;€ 0,27;€ 0,00;;0,00;0;0;0,0000%;0;0;€ 0,00;€ 0,00
2019-10-29;2019-10-29;Not grouped;EUR;Lazy Zola Launch;Toothbrush;bambus zahnburst;EXACT;bambus zahnbürste;25;1;4,0000%;€ 0,63;€ 0,63;€ 0,00;;0,00;0;0;0,0000%;0;0;€ 0,00;€ 0,00
2019-10-22;2019-10-30;Not grouped;EUR;Lazy Zola Launch;Toothbrush;bambus zahnburst;EXACT;bambus zahnbürsten;1074;3;0,2793%;€ 0,76;€ 2,27;€ 0,00;;0,00;0;0;0,0000%;0;0;€ 0,00;€ 0,00
2019-11-01;2019-11-01;Not grouped;EUR;Lazy Zola Launch;Toothbrush;nachhaltig;EXACT;nachhaltig;24;1;4,1667%;€ 0,13;€ 0,13;€ 0,00;;0,00;0;0;0,0000%;0;0;€ 0,00;€ 0,00
2019-11-01;2019-11-01;Not grouped;EUR;Lazy Zola Launch;Toothbrush;bambus zahnbürsten;PHRASE;bambus zahnbürsten soft;2;1;50,0000%;€ 0,68;€ 0,68;€ 0,00;;0,00;0;0;0,0000%;0;0;€ 0,00;€ 0,00
2019-11-01;2019-11-01;Not grouped;EUR;Lazy Zola Launch;Toothbrush;zahnburst holz;PHRASE;zahnbürsten holz etui;1;1;100,0000%;€ 0,72;€ 0,72;€ 0,00;;0,00;0;0;0,0000%;0;0;€ 0,00;€ 0,00
